All Order,Order per task,Code snippet,Participant,Task,Participant/Task,Task Duration,Understand,Correntness,Level of investment,Rough Direction,Statement Selection,Code Interaction,"Level of investment, Rough Direction","Level of investment, Statement Selection","Level of investment, Code Interaction","Rough Direction, Statement Selection","Rough Direction, Code Interaction","Statement Selection, Code Interaction","Level of investment, Rough Direction, Statement Selection","Level of investment, Rough Direction, Code Interaction","Level of investment, Statement Selection, Code Interaction","Rough Direction, Statement Selection, Code Interaction","Level of investment, Rough Direction, Statement Selection, Code Interaction",Time,Start,Stop,Block Duration,%(Block Duration),Intent
3,3,Number HRD,52,1,52/1,200,1,1,Medium,Forward,Linear,,"Medium, Forward","Medium, Linear",,"Forward, Linear",,,"Medium, Forward, Linear",,,,,35-55,35,55,20,0.1,Get the understanding of a part of code block
4,4,Number HRD,52,1,52/1,200,1,1,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,55-95,55,95,40,0.2,Get the understanding of a part of code block
6,6,Number HRD,52,1,52/1,200,1,1,Medium,Back and forth,Linear,,"Medium, Back and forth","Medium, Linear",,"Back and forth, Linear",,,"Medium, Back and forth, Linear",,,,,102-116,102,116,14,0.07,Get the understanding of a part of code block
7,7,Number HRD,52,1,52/1,200,1,1,Quick,Backward,Dynamic,,"Quick, Backward","Quick, Dynamic",,"Backward, Dynamic",,,"Quick, Backward, Dynamic",,,,,116-130,116,130,14,0.07,Get the understanding of a part of code block
8,8,Number HRD,52,1,52/1,200,1,1,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,130-200,130,200,70,0.35,Formulate a hypothesis of the problematic area (PA)
10,2,Rectangle,106,2,106/2,95,0.5,1,Indepth,In the order of definition,Linear,Intra procedure,"Indepth, In the order of definition","Indepth, Linear","Indepth, Intra procedure","In the order of definition, Linear","In the order of definition, Intra procedure","Linear, Intra procedure","Indepth, In the order of definition, Linear","Indepth, In the order of definition, Intra procedure","Indepth, Linear, Intra procedure","In the order of definition, Linear, Intra procedure","Indepth, In the order of definition, Linear, Intra procedure",4-12,4,12,8,0.08421052632,Get the understanding of a part of code block
11,3,Rectangle,106,2,106/2,95,0.5,1,Medium,In the order of definition,Linear,Inter procedure,"Medium, In the order of definition","Medium, Linear","Medium, Inter procedure","In the order of definition, Linear","In the order of definition, Inter procedure","Linear, Inter procedure","Medium, In the order of definition, Linear","Medium, In the order of definition, Inter procedure","Medium, Linear, Inter procedure","In the order of definition, Linear, Inter procedure","Medium, In the order of definition, Linear, Inter procedure",12-24,12,24,12,0.1263157895,Get the understanding of a part of code block
12,4,Rectangle,106,2,106/2,95,0.5,1,Quick,In the order of definition,Linear,Intra procedure,"Quick, In the order of definition","Quick, Linear","Quick, Intra procedure","In the order of definition, Linear","In the order of definition, Intra procedure","Linear, Intra procedure","Quick, In the order of definition, Linear","Quick, In the order of definition, Intra procedure","Quick, Linear, Intra procedure","In the order of definition, Linear, Intra procedure","Quick, In the order of definition, Linear, Intra procedure",24-32,24,32,8,0.08421052632,Get a quick overview of the code
13,5,Rectangle,106,2,106/2,95,0.5,1,Medium,Back and forth the order of denifition,Dynamic,Inter procedure,"Medium, Back and forth the order of denifition","Medium, Dynamic","Medium, Inter procedure","Back and forth the order of denifition, Dynamic","Back and forth the order of denifition, Inter procedure","Dynamic, Inter procedure","Medium, Back and forth the order of denifition, Dynamic","Medium, Back and forth the order of denifition, Inter procedure","Medium, Dynamic, Inter procedure","Back and forth the order of denifition, Dynamic, Inter procedure","Medium, Back and forth the order of denifition, Dynamic, Inter procedure",32-42,32,42,10,0.1052631579,Get the understanding of a part of code block
14,6,Rectangle,106,2,106/2,95,0.5,1,Medium,Reverse the order of definition,Dynamic,Inter procedure,"Medium, Reverse the order of definition","Medium, Dynamic","Medium, Inter procedure","Reverse the order of definition, Dynamic","Reverse the order of definition, Inter procedure","Dynamic, Inter procedure","Medium, Reverse the order of definition, Dynamic","Medium, Reverse the order of definition, Inter procedure","Medium, Dynamic, Inter procedure","Reverse the order of definition, Dynamic, Inter procedure","Medium, Reverse the order of definition, Dynamic, Inter procedure",42-57,42,57,15,0.1578947368,Get the deeper understanding of the code
15,7,Rectangle,106,2,106/2,95,0.5,1,Indepth,Forward,Dynamic,Inter procedure,"Indepth, Forward","Indepth, Dynamic","Indepth, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Indepth, Forward, Dynamic","Indepth, Forward, Inter procedure","Indepth, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Indepth, Forward, Dynamic, Inter procedure",57-78,57,78,21,0.2210526316,Formulate a hypothesis of the problematic area (PA)
